EAN Final;Libellé;Code Méti;VMJ;Classement;Ligne;Contrôle
3270190113508.0;PET 1 5L EAU SCE AUV CRF CLASS;843843;1116.98741877586;1;1;
3560071267957.0;1L LAIT 1/2 ECREME SIMPL;7135468;762.94452347;2;2;
3276554163158.0;BP 1L LAIT 1/2ECREME CRF;5940259;747.33576112;3;3;
3257971309114.0;PET 1L EAU MINER MONT ROUCOUS;3867906;645.836308780715;4;4;
3270190025337.0;1L BLE LAIT 1/2 ECREME BIO CRF;1107212;626.912687065;5;5;
3276554163165.0;BRK 1L LAIT UHT PLAINE 1/2EC C;5940223;625.17510786;6;6;
3068320120256.0;EVIAN 1 5L PET MAGNUM;6673710;595.1830771579399;7;7;
3254380008430.0;PET 1 5L EAU PETILL CRISTALINE;960314;590.7381728485801;8;8;
3254381025887.0;PET 1L EAU CRISTALINE;4112017;582.95328790127;9;9;
3057640257773.0;PET 1 5L VOLVIC;6475335;573.52235588742;10;10;
3270190205685.0;12 0EUF PLEIN AIR CRF ORIGINAL;1109678;531.5188375350001;11;11;
8002270014901.0;PET 1L EAU SAN PELLEGRINO;474695;500.4837735646501;12;12;
3560070157198.0;100G PARMI REG AOP 18M CRF EXT;2832486;477.27315684450014;13;13;
3270190207696.0;200G EMMENTAL RAPE ZIP CRF CLA;1116851;382.7707633338751;14;14;
3248340054063.0;1L LAIT DEMI ECREME CQLP;6072801;377.02523699000005;15;15;
3270190207689.0;500G EMMENT FRANCA RAP CRF CLA;1115976;362.7449126174251;16;16;
3245411851149.0;3X20CL BK CREM S E 18  CRF CLA;2249728;356.1876604108801;17;17;
3068320123264.0;PET 1 15L SALVETAT 50 RPET;6985534;337.8552540261401;18;18;
3560071246167.0;X15 OEUFS MOYEN CRF BIO;6905381;330.1332965100001;19;19;
3560070586073.0;BP 1L LAIT ENTIER CRF BIO;4491252;328.049063805;20;20;
3270190020288.0;250G PLQ BEURRE DX CRF CLA;843392;323.7608718135001;21;21;
3560071510664.0;1L BK LAIT 1/2 EC CRF BIO;7717787;312.91150937500004;22;22;
3560070526703.0;1L VINAIGRE ALC CRIST 8  SIMPL;4247568;303.120603960765;23;23;
3560071178345.0;350G EMMENTAL RAPE CRF CLASSIC;6575266;302.60964908272507;24;24;
7613035833272.0;PET 1L PERRIER;6044656;299.8637620702001;25;25;
3560070060252.0;125G MOZZARELLA CRF CLASSIC;2265436;297.52346311029004;26;26;
3245414192508.0;BLE 50CL LAIT 1/2EC CRF CLASSI;3511157;291.61880149;27;27;
3560070153572.0;BT 3X110MOUCH CONFOR 3P CRF SF;2828693;285.01131788229503;28;28;
3245414228948.0;PET 1 5L EAU ALPES CRF CLASSIC;3525082;271.154506578855;29;29;
5400101225091.0;125G MOZZA DI BUF AOP CRF EXT;3742100;270.92939200254006;30;30;
3560070332557.0;12RLX PH BLC 2P CONFORT CRF ES;3741179;267.43446730293005;31;31;
3068320080000.0;PET 1L EAU MINERALE EVIAN;816304;259.83738816223496;32;32;
3068320114453.0;PET BADOIT 1L;5754352;254.65454279966005;33;33;
3560070060832.0;LOT3X125G MOZZARELL CARREFOUR;2250202;246.86634283470002;34;34;
3560070437405.0;BLE 1L LAIT SS LACTOSE CRF CL;3990746;228.388588725;35;35;
3560070818822.0;X6 ET 3P BLC ULTR ABSORP CRF E;4959149;224.854529325;36;36;
3560070149278.0;200G FETA GRECQUE CRF EXTRA;2800411;218.65828672179003;37;37;
3245412846991.0;10 OEUFS BIO CALIBRE MOYEN CRF;2764049;212.29329501000007;38;38;
3560070971930.0;X24 PH 2 PLIS BLANC CRF ESSEN;5622123;211.28662737751003;39;39;
3270190117315.0;1KG FARINE BLE FLUID T45 CRF C;843656;211.06692668481003;40;40;
8024884600301.0;1 5L EAU MONT BLANC;4881184;209.00162237145;41;41;
3560070150403.0;12 RLX P HYG 3P BLC/BLEU CRF E;3164301;203.4658128263;42;42;
3270190021087.0;1KG FRO BLC NAT 3  CRF CLA;843382;202.03746817176005;43;43;
3270190022534.0;230G PATE FEUILLETE ROU CRF CL;843484;200.09341030086;44;44;
3270190023678.0;2X100G LARDONS FUMES CRF CLASS;843454;198.93818548615502;45;45;
3560070108558.0;200G FROM DE BREBIS TR CRF CLA;2262710;197.89657051905004;46;46;
3560071177478.0;80 MAXI CARRE BB CRF BABY;6565021;197.61282144999998;47;47;
3270190204374.0;BLE 1L LAIT MONT 1/2EC CRF EXT;1093817;196.169747195;48;48;
3451790563256.0;250G BEUR DX MONTFLEURI 60;2465341;194.92020401962503;49;49;
3560071095000.0;MOUCHOIR BOITE 2PX150;6251678;191.31660012395;50;50;
3270190022527.0;230G PATE BRISEE ROULEE CRF CL;843481;188.46314602974002;51;51;
3560070978489.0;150G MOZZARELLA RAPE CRF;5666356;183.17593710090003;52;52;
3560071093716.0;180G BUCHE CHEVRE CRF CLASSIC;6461295;181.44338692500003;53;53;
3270190203414.0;160G BLC PLT FOUR 4T CRF EXT;1077867;179.77975804228504;54;54;
3560070432080.0;30 OEUFS FRAIS MOYEN SIMPL;3956170;179.41895613000005;55;55;
3245414662926.0;1KG FARINE BLE T55 SIMPL;3701600;177.61646545391002;56;56;
3560071096281.0;160G JB PARIS 4T DD CRF CLASS;6251699;177.56291567560504;57;57;
3664320011510.0;PET 1L15 EAU GAZ QUEZAC NEW;6272609;177.42486053344;58;58;
3560070773275.0;12 OEUFS MOYEN LABEL R;4772586;176.21612532000003;59;59;
3560070720712.0;1 5L PET PJ POMME CRF EXTRA;4721790;175.25559597273002;60;60;
3560070339617.0;1 KG SUCRE POUDRE SIMPL;3823350;170.63616803;61;61;
5413458017578.0;1KG FILET POULET PLK;3609539;170.37941939955002;62;62;
3560070931835.0;150G COMTE RAPE CRF EXTRA;5603879;169.84460708505003;63;63;
