CLASSE_STOCKAGE;DATE_LIVRAISON;QUANTITE_CONFIRMEE;Commande_Origine
1060;28/05/2025;0;PERMANENT
1060;30/05/2025;72;PERMANENT
1060;31/05/2025;3738;PROMO
1061;31/05/2025;0;PROMO
1064;31/05/2025;1887;PROMO
1080;31/05/2025;1094;PROMO
1060;02/06/2025;23761;PERMANENT
1060;02/06/2025;4298;PROMO
1061;02/06/2025;349;PERMANENT
1061;02/06/2025;72;PROMO
1064;02/06/2025;235;PERMANENT
1070;02/06/2025;0;PROMO
1071;02/06/2025;3;PROMO
1080;02/06/2025;;PROMO
1060;03/06/2025;90318;PERMANENT
1060;03/06/2025;798;PROMO
1061;03/06/2025;1582;PERMANENT
1061;03/06/2025;763;PROMO
1064;03/06/2025;11498;PERMANENT
1070;03/06/2025;756;PROMO
1071;03/06/2025;135;PROMO
1080;03/06/2025;7926;PERMANENT
1080;03/06/2025;18;PROMO
1060;04/06/2025;81575;PERMANENT
1060;04/06/2025;25208;PROMO
1061;04/06/2025;446;PERMANENT
1061;04/06/2025;780;PROMO
1064;04/06/2025;18105;PERMANENT
1064;04/06/2025;760;PROMO
1070;04/06/2025;46445;PERMANENT
1070;04/06/2025;6036;PROMO
1071;04/06/2025;17862;PERMANENT
1071;04/06/2025;446;PROMO
1080;04/06/2025;6503;PERMANENT
1080;04/06/2025;3385;PROMO
1060;05/06/2025;32851;PERMANENT
1060;05/06/2025;3256;PROMO
1061;05/06/2025;137;PERMANENT
1061;05/06/2025;1179;PROMO
1062;05/06/2025;182;PROMO
1063;05/06/2025;176;PROMO
1064;05/06/2025;10128;PERMANENT
1064;05/06/2025;16752;PROMO
1070;05/06/2025;7344;PERMANENT
1070;05/06/2025;10643;PROMO
1071;05/06/2025;1402;PERMANENT
1071;05/06/2025;1571;PROMO
1080;05/06/2025;0;PERMANENT
1080;05/06/2025;2314;PROMO
1060;06/06/2025;506;PERMANENT
1060;06/06/2025;19657;PROMO
1061;06/06/2025;360;PROMO
1070;06/06/2025;10288;PERMANENT
1070;06/06/2025;3000;PROMO
1071;06/06/2025;1319;PERMANENT
1070;07/06/2025;734;PERMANENT
1070;07/06/2025;240;PROMO
1071;07/06/2025;1040;PERMANENT
0;10/06/2025;30;PROMO
1060;10/06/2025;11810;PROMO
1061;10/06/2025;388;PROMO
1080;10/06/2025;7172;PROMO
1060;11/06/2025;7842;PROMO
1061;11/06/2025;3971;PROMO
1064;11/06/2025;3802;PROMO
1080;11/06/2025;1230;PROMO
0;12/06/2025;696;PROMO
1060;12/06/2025;1228;PROMO
1063;12/06/2025;40;PROMO
1064;12/06/2025;8337;PROMO
1080;12/06/2025;2565;PROMO
1060;13/06/2025;105;PERMANENT
1060;13/06/2025;6075;PROMO
1061;13/06/2025;1163;PROMO
1064;14/06/2025;1116;PROMO
1060;16/06/2025;64;PROMO
1080;16/06/2025;228;PROMO
1060;17/06/2025;364;PROMO
1080;17/06/2025;1258;PROMO
0;18/06/2025;64;PROMO
1060;18/06/2025;12;PROMO
